USVI,FGB,PR,DT,Temp,Salinity,CalcDensity,CRMTA,SampleDensity,TA1,TA2,MeanTA,TACorrection,TA1pH,TA2pH,MeanTApH,CO2,CorrectedCO2,Label
1,0,0,0,28.6,32.8,1.020547605,2238.04,1.022051522,2386.4,2383.7,2385.05,2340.749221,8.226,8.224,8.225,2072.58,1993.423459,0
1,0,0,0,28.2,33,1.020828626,2238.04,1.022041358,2410.4,2408.5,2409.45,2353.203864,8.232,8.228,8.23,2072.58,2014.763606,1
1,0,0,0,28.1,33.3,1.021086507,2238.04,1.022371306,2420.6,2421.9,2421.25,2363.984833,8.227,8.223,8.225,2072.58,2023.384882,1
1,0,0,0,28,33.3,1.021119015,2238.04,1.022356626,2420.3,2416.7,2418.5,2361.328974,8.22,8.218,8.219,2072.58,2020.189391,1
1,0,0,0,28,33.1,1.020968764,2238.04,1.022322131,2418.3,2417.8,2418.05,2369.718741,8.217,8.217,8.217,2072.58,2025.573375,1
1,0,0,0,28.3,35.1,1.022373653,2238.04,1.023599663,2399.4,2395.4,2397.4,2349.253748,8.217,8.208,8.2125,2072.58,2003.91802,1
1,0,0,0,28.1,35,1.022364127,2238.04,1.023524005,2405,2402.7,2403.85,2355.728634,8.203,8.199,8.201,2072.58,2019.635316,1
1,0,0,0,28.3,35.5,1.022674376,2238.04,1.023902338,2400.9,2403.1,2402,2353.054009,8.187,8.187,8.187,2072.58,2020.926814,1
1,0,0,0,28.2,35.4,1.022632095,2238.04,1.023841641,2394,2392.2,2393.1,2344.500334,8.209,8.208,8.2085,2072.58,2014.360083,1
1,0,0,0,28.2,35.5,1.022707294,2238.04,1.023917323,2393.5,2392.2,2392.85,2344.083408,8.21,8.207,8.2085,2072.58,2006.564809,1
1,0,0,0,28.2,35,1.022331342,2238.04,1.023403686,2402.4,2401.2,2401.8,2351.996217,8.223,8.222,8.2225,2072.58,1941.119685,0
1,0,0,0,28.1,33.3,1.021086507,2238.04,1.022356626,2404.6,2403.6,2404.1,2355.99399,8.224,8.224,8.224,2072.58,2019.398526,1
1,0,0,0,28.7,33.4,1.020964938,2238.04,1.022476265,2420.3,2416.7,2418.5,2361.052176,8.221,8.221,8.221,2072.58,2011.220707,1
1,0,0,0,29.1,35.3,1.022258198,2238.04,1.023765963,2388.7,2390.1,2389.4,2328.22796,8.215,8.216,8.2155,2072.58,1998.090295,0
1,0,0,0,28.4,35.7,1.022791748,2238.04,1.024023647,2390.5,2390.8,2390.65,2341.692376,8.213,8.21,8.2115,2072.58,2007.412128,1
1,0,0,0,28.9,35.4,1.022400203,2238.04,1.0238566,2374.9,2380.4,2377.65,2329.37618,8.201,8.201,8.201,2072.58,2000.491695,1
1,0,0,0,28.8,33.6,1.021081984,2238.04,1.022656858,2384.1,2384.7,2384.4,2338.732312,8.209,8.209,8.209,2072.58,2004.910785,1
1,0,0,0,28.7,33.3,1.020889889,2238.04,1.022444406,2403.6,2405,2404.3,2347.237595,8.227,8.228,8.2275,2072.58,2021.946946,1
1,0,0,0,28.2,33.7,1.02135438,2238.04,1.022747151,2403.6,2402.7,2403.15,2345.417095,8.223,8.223,8.223,2072.58,2008.29072,1
1,0,0,0,28.3,35.5,1.022674376,2238.04,1.023887334,2397.7,2394.9,2396.3,2334.690322,8.215,8.196,8.2055,2072.58,2010.29044,1
1,0,0,0,28.5,35.4,1.022533155,2238.04,1.023826663,2395.7,2397.3,2396.5,2335.024356,8.212,8.209,8.2105,2072.58,2005.813811,1
1,0,0,0,29.1,35.3,1.022258198,2238.04,1.023750992,2395.8,2393.5,2394.65,2333.390292,8.222,8.22,8.221,2072.58,1997.257827,0
1,0,0,0,28.4,33.6,1.021213799,2238.04,1.022642237,2396.1,2397.8,2396.95,2348.345546,8.222,8.219,8.2205,2072.58,2011.373188,1
1,0,0,0,28.5,35.5,1.022608318,2238.04,1.023872309,2401.4,2397.8,2399.6,2337.947722,8.215,8.216,8.2155,2072.58,2004.48669,1
1,0,0,0,28.6,35.6,1.022650336,2238.04,1.023947976,2397,2395.6,2396.3,2334.551714,8.212,8.215,8.2135,2072.58,2000.94833,1
1,0,0,0,28.4,35.4,1.022566208,2238.04,1.02378161,2401.1,2399.9,2400.5,2339.034445,8.211,8.211,8.211,2072.58,2005.87583,1
1,0,0,0,28.4,35.6,1.022716564,2238.04,1.023947976,2402.2,2398.6,2400.4,2338.555824,8.223,8.222,8.2225,2072.58,2004.282582,1
1,0,0,0,28.5,33.7,1.021256042,2238.04,1.022776305,2401.7,2401.8,2401.75,2352.731413,8.202,8.2,8.201,2072.58,2015.417249,1
1,0,0,0,28.2,34.1,1.021654906,2238.04,1.023006,2415,2413,2414,2364.178673,8.234,8.229,8.2315,2072.58,2022.574514,1
1,0,0,0,28.2,33.7,1.02135438,2238.04,1.022659209,2403.5,2408.2,2405.85,2357.00945,8.226,8.221,8.2235,2072.58,2015.130267,1
1,0,0,0,28.8,34,1.02138221,2238.04,1.023003449,2380.2,2384.5,2382.35,2333.246245,8.209,8.208,8.2085,2072.58,1995.812951,0
1,0,0,0,28.3,34,1.021547028,2238.04,1.022856676,2404.6,2403.1,2403.85,2357.292204,8.19,8.199,8.1945,2072.58,2017.849182,1
1,0,0,0,29.5,34.2,1.021298345,2238.04,1.022963532,2383.6,2385.2,2384.4,2326.590978,8.223,8.252,8.2375,2072.58,1987.420335,0
1,0,0,0,28.4,33.8,1.021363997,2238.04,1.022764272,2404.2,2401.7,2402.95,2345.182212,8.236,8.232,8.234,2072.58,2001.477211,1
1,0,0,0,28.5,35.6,1.022683487,2238.04,1.023827029,2393.4,2389.8,2391.6,2343.914652,8.203,8.204,8.2035,2072.58,2010.981258,1
1,0,0,0,28.5,35,1.022232544,2238.04,1.023494042,2395.8,2397.8,2396.8,2343.985351,8.176,8.174,8.175,2072.58,2011.435953,1
1,0,0,0,28.6,35.7,1.022725497,2238.04,1.024023647,2366.2,2368.5,2367.35,2314.015127,8.221,8.219,8.22,2072.58,1956.59596,0
1,0,0,0,28.7,35.6,1.022617111,2238.04,1.023932926,2397.2,2394.7,2395.95,2334.244293,8.206,8.203,8.2045,2072.58,2009.055989,1
1,0,0,0,29.5,35.7,1.022423738,2238.04,1.024023647,2376.9,2373.2,2375.05,2313.627305,8.288,8.276,8.282,2072.58,1948.026192,0
1,0,0,0,28.5,35.7,1.022758659,2238.04,1.02400859,2396.3,2393.9,2395.1,2346.91842,8.193,8.186,8.1895,2072.58,2013.203256,1
1,0,0,0,28.5,35.5,1.022608318,2238.04,1.023812018,2395.9,2396.7,2396.3,2348.539588,8.225,8.2,8.2125,2072.58,2009.429934,1
1,0,0,0,28.6,35.5,1.022575179,2238.04,1.023857266,2397,2393.6,2395.3,2341.689533,8.174,8.171,8.1725,2072.58,2010.722947,1
1,0,0,0,28.5,35.6,1.022683487,2238.04,1.023947976,2396.1,2397.1,2396.6,2344.399952,8.177,8.177,8.177,2072.58,2007.16877,1
1,0,0,0,28.3,33.7,1.021321675,2238.04,1.022659209,2413.6,2412.3,2412.95,2355.202014,8.245,8.244,8.2445,2072.58,2022.392337,1
1,0,0,0,28.2,33.6,1.02127926,2238.04,1.022642237,2411.3,2414.2,2412.75,2355.045599,8.233,8.228,8.2305,2072.58,2012.114931,1
1,0,0,0,28.5,35.7,1.022758659,2238.04,1.023795754,2389.3,2384.3,2386.8,2339.585415,8.101,8.094,8.0975,2072.58,2008.702732,1
1,0,0,0,28.6,35.7,1.022725497,2238.04,1.023811083,2392.6,2389.3,2390.95,2343.603993,8.104,8.104,8.104,2072.58,2010.880431,1
1,0,0,0,28.4,35.8,1.022866937,2238.04,1.023886667,2400.8,2395.7,2398.25,2350.561292,8.104,8.104,8.104,2072.58,2017.025424,1
1,0,0,0,28.6,35.8,1.022866937,2238.04,1.023886667,2390,2388.5,2389.25,2341.771257,8.116,8.118,8.117,2072.58,2013.450221,1
1,0,0,0,28.4,35.9,1.022800662,2238.04,1.023946913,2399.2,2397.4,2398.3,2350.472307,8.12,8.118,8.119,2072.58,2018.189414,1
1,0,0,0,28.6,35.8,1.022800662,2238.04,1.023886667,2387.5,2391.3,2389.4,2341.917758,8.142,8.152,8.147,2072.58,2008.015527,1
1,0,0,0,28.3,35.9,1.022975169,2238.04,1.024038672,2403.6,2398.2,2400.9,2351.568411,8.061,8.048,8.0545,2072.58,2017.839305,1
1,0,0,0,28.5,33.9,1.021406225,2238.04,1.022839946,2390.7,2389.3,2390,2341.097682,8.212,8.212,8.212,2072.58,2007.726868,1
1,0,0,0,28.4,34.1,1.021589327,2238.04,1.023006,2389.7,2386.3,2388,2338.763377,8.221,8.213,8.217,2072.58,2004.048922,1
1,0,0,0,28.3,34,1.021547028,2238.04,1.022915624,2387.4,2387.9,2387.65,2329.877337,8.239,8.24,8.2395,2072.58,1990.817444,0
1,0,0,0,28.5,33.9,1.021406225,2238.04,1.022825245,2402.3,2402.8,2402.55,2344.65108,8.227,8.227,8.227,2072.58,2000.202397,1
1,0,0,0,28.3,35.9,1.022975169,2238.04,1.024053897,2386.6,2384.9,2385.75,2336.73941,8.053,8.058,8.0555,2072.58,2015.107653,1
1,0,0,0,28.3,35.9,1.022975169,2238.04,1.024053897,2381.7,2383.7,2382.7,2333.761051,8.053,8.065,8.059,2072.58,2009.95885,1
1,0,0,0,28.2,36,1.023083356,2238.04,1.024129528,2388.4,2391.3,2389.85,2340.570762,8.083,8.092,8.0875,2072.58,2011.312812,1
1,0,0,0,28,36.3,1.02337485,2238.04,1.024371681,2416.9,2419.9,2418.4,2367.889875,8.148,8.133,8.1405,2072.58,2030.044632,1
1,0,0,0,28.4,35.9,1.02294213,2238.04,1.02382349,2387.3,2387.2,2387.25,2338.872624,8.016,8.034,8.025,2072.58,2004.271258,1
1,0,0,0,28.3,36.1,1.023125593,2238.04,1.024051911,2396.2,2396.1,2396.15,2347.043488,8.034,8.05,8.042,2072.58,2023.335123,1
1,0,0,0,28.6,35.6,1.022650336,2238.04,1.023811823,2385.9,2386.8,2386.35,2337.876301,8.169,8.221,8.195,2072.58,1987.169019,1
1,0,0,0,28.6,35.5,1.022575179,2238.04,1.023720997,2393.2,2396.5,2394.85,2346.38614,8.195,8.203,8.199,2072.58,2011.056636,1
1,0,0,0,28.7,35.7,1.02269226,2238.04,1.02376504,2384.3,2386.2,2385.25,2337.052175,8.075,8.094,8.0845,2072.58,1999.386909,1
1,0,0,0,28.5,35.6,1.022683487,2238.04,1.023735504,2388,2386.7,2387.35,2339.170706,8.118,8.14,8.129,2072.58,2003.112678,1
1,0,0,0,28.5,35.8,1.022833836,2238.04,1.023886667,2390.2,2391.5,2390.85,2342.244766,8.154,8.169,8.1615,2072.58,1998.506147,1
1,0,0,0,28.5,35.8,1.022833836,2238.04,1.023886667,2395.4,2397.6,2396.5,2347.762955,8.188,8.197,8.1925,2072.58,1998.247266,1
1,0,0,0,28.6,35.7,1.022725497,2238.04,1.023811083,2396.4,2396.5,2396.45,2347.886913,8.203,8.2,8.2015,2072.58,1998.790497,0
1,0,0,0,28.9,35.5,1.02247532,2238.04,1.023659929,2385.9,2382.4,2384.15,2336.216835,8.196,8.19,8.193,2072.58,1994.294997,1
0,1,0,0,29.5,37.8,1.024000978,2238.04,1.025228122,2471.6,2477.5,2474.55,2403.315734,8.422,8.43,8.426,2072.58,2043.910276,1
0,1,0,0,30,37,1.023228967,2238.04,1.024670181,2477.4,2476.5,2476.95,2406.972208,8.437,8.437,8.437,2072.58,2042.359731,1
0,1,0,0,30.1,37.2,1.023344678,2238.04,1.024929877,2477.5,2480.6,2479.05,2408.408629,8.431,8.432,8.4315,2072.58,2048.768155,1
0,1,0,0,30.5,37,1.023056257,2238.04,1.024886086,2483.1,2478.9,2481,2410.414627,8.441,8.438,8.4395,2072.58,2045.475105,1
0,0,0,0,28.2,33.8,1.015319287,2221.75,1.022314882,2387.4,2385.9,2386.65,2332.391832,8.218,8.218,8.218,2033.98,1995.81114,0
0,0,0,0,27.7,33.6,1.015019895,2221.75,1.022209637,2410.7,2409.2,2409.95,2357.673182,8.223,8.218,8.2205,2033.98,2019.036499,1
0,0,0,0,27.7,33.8,1.014947887,2221.75,1.02234539,2417.1,2413.2,2415.15,2362.446472,8.218,8.218,8.218,2033.98,2016.482553,1
0,0,0,0,28.1,33.8,1.015245,2221.75,1.022314882,2389.2,2385.5,2387.35,2335.323783,8.246,8.243,8.2445,2033.98,1980.6345,0
0,0,0,0,27.7,33.1,1.015198679,2221.75,1.021786672,2414.2,2413.2,2413.7,2362.319142,8.231,8.229,8.23,2033.98,2009.781129,1
0,0,0,0,27.6,33.6,1.014945606,2221.75,1.022179194,2411.4,2409.4,2410.4,2358.183633,8.214,8.212,8.213,2033.98,2022.592245,1
0,0,0,0,27.7,32.8,1.015305097,2221.75,1.021560359,2410.3,2409.2,2409.75,2358.975829,8.188,8.209,8.1985,2033.98,2020.576007,1
0,0,0,0,27.8,33.4,1.015165933,2221.75,1.022089016,2410.5,2410.3,2410.4,2358.391686,8.207,8.212,8.2095,2033.98,2019.306428,1
0,0,0,0,28.2,33.3,1.015499028,2221.75,1.021937568,2402.6,2403.2,2402.9,2351.402181,8.209,8.212,8.2105,2033.98,2026.420652,1
0,0,0,0,28.7,33.6,1.015762989,2221.75,1.022148673,2381.5,2379.4,2380.45,2328.953024,8.236,8.235,8.2355,2033.98,1973.428611,0
0,0,0,1,27.2,32.4,1.015073971,2238.04,1.021288993,2433.9,2431.6,2432.75,2394.831444,8.214,8.212,8.213,2072.58,2078.836647,1
0,0,0,1,27.1,32.3,1.015034559,2238.04,1.021319047,2409.7,2412.8,2411.25,2373.710141,8.179,8.183,8.181,2072.58,2067.996382,1
0,0,0,1,27.4,32.2,1.015292719,2238.04,1.02128847,2434.1,2433.2,2433.65,2395.713905,8.258,8.232,8.245,2072.58,2069.250311,1
0,0,0,1,27.4,31.7,1.015466332,2238.04,1.020851335,2441.4,2439.3,2440.35,2403.297435,8.242,8.231,8.2365,2072.58,2056.186512,1
0,0,0,1,27.5,31.9,1.015471561,2238.04,1.020957152,2434.2,2433.9,2434.05,2396.878993,8.203,8.216,8.2095,2072.58,2089.496089,1
0,0,0,1,27.9,31.5,1.015907799,2238.04,1.020819567,2436,2434.4,2435.2,2398.326863,8.247,8.225,8.236,2072.58,2057.480605,1
0,0,0,1,27.9,31.6,1.015873314,2238.04,1.02082073,2436.8,2437.6,2437.2,2400.283352,8.224,8.231,8.2275,2072.58,2061.539673,1
0,0,0,1,28.7,31.5,1.016504044,2238.04,1.020745278,2438,2437.3,2437.65,2400.900686,8.232,8.241,8.2365,2072.58,2056.854456,1
0,0,0,1,28.6,31.4,1.016463987,2238.04,1.020684721,2437.6,2439.1,2438.35,2401.728186,8.229,8.226,8.2275,2072.58,2055.776492,1
0,0,0,1,28.4,31.4,1.016314889,2238.04,1.020861858,2433.8,2435.6,2434.7,2397.738256,8.214,8.212,8.213,2072.58,2087.508678,1
0,0,0,1,27.8,31.7,1.015764264,2238.04,1.020970541,2434.8,2438.2,2436.5,2399.247406,8.221,8.237,8.229,2072.58,2062.80358,1
0,0,0,1,27.3,31.3,1.015529397,2238.04,1.020261937,2430,2427,2428.5,2393.06375,8.212,8.205,8.2085,2072.58,2066.494967,1
0,0,0,1,27.6,31.6,1.015649817,2238.04,1.02121613,2425.9,2421.7,2423.8,2386.23734,8.243,8.221,8.232,2072.58,2054.200067,1
0,0,0,1,27.6,31.6,1.015649817,2238.04,1.020880227,2428.3,2430,2429.15,2392.258857,8.203,8.222,8.2125,2072.58,2064.975221,1
0,0,0,1,27.5,31.8,1.015506221,2238.04,1.020896763,2428.2,2424.3,2426.25,2379.731157,8.253,8.247,8.25,2072.58,2064.059027,1
0,0,0,1,27.7,31.3,1.015827484,2238.04,1.020609271,2424.8,2426.6,2425.7,2379.861716,8.255,8.246,8.2505,2072.58,2058.576801,1
0,0,0,1,27.4,32.3,1.015257779,2238.04,1.021289008,2417.7,2419,2418.35,2371.083061,8.247,8.238,8.2425,2072.58,2053.10791,1
0,0,0,1,27.8,32.2,1.015590439,2238.04,1.021273526,2420.5,2417.3,2418.9,2371.657501,8.252,8.238,8.245,2072.58,2053.006878,1
0,0,0,1,29.1,32.5,1.01645288,2238.04,1.021394684,2408.9,2406.8,2407.85,2360.558007,8.31,8.323,8.3165,2072.58,1985.21949,0
0,0,0,1,29,32.3,1.016448855,2238.04,1.021363957,2402.1,2405.4,2403.75,2356.614689,8.402,8.393,8.3975,2072.58,1928.569164,0
0,0,0,1,27.6,32.3,1.01540661,2238.04,1.021258891,2426,2425.6,2425.8,2378.44781,8.252,8.253,8.2525,2072.58,2041.768019,1
0,0,0,1,27.6,32.6,1.015301296,2238.04,1.021545473,2434.8,2432.5,2433.65,2385.465883,8.255,8.262,8.2585,2072.58,2057.965127,1
